category,app_count,rated_apps,avg_rating,total_installs,mean_installs,median_installs,top3_share_pct
GAME,912,912,4.247368421052632,13878762717,15217941.575657895,1000000.0,14.410506475121258
COMMUNICATION,256,256,4.121484375,11038241530,43118130.9765625,1000000.0,27.178242040152206
TOOLS,718,718,4.039554317548746,7999724500,11141677.576601671,100000.0,25.000860967149556
PRODUCTIVITY,301,301,4.183388704318937,5793070180,19246080.332225915,500000.0,34.52400778614424
SOCIAL,203,203,4.247290640394089,5487841475,27033701.84729064,500000.0,54.66630210924597
PHOTOGRAPHY,263,263,4.1574144486692015,4649143130,17677350.30418251,1000000.0,25.81120792467407
FAMILY,1608,1608,4.179664179104478,4427479590,2753407.7052238807,100000.0,6.775864098336815
VIDEO_PLAYERS,148,148,4.044594594594595,3926797200,26532413.513513513,1000000.0,63.66511619189298
TRAVEL_AND_LOCAL,187,187,4.06951871657754,2894859300,15480531.01604278,500000.0,72.5423857387473
NEWS_AND_MAGAZINES,204,204,4.12156862745098,2369110650,11613287.5,100000.0,84.41986447530427
ENTERTAINMENT,102,102,4.135294117647059,2113660000,20722156.8627451,1000000.0,56.77355866127949
BOOKS_AND_REFERENCE,169,169,4.344970414201184,1665791655,9856755.355029587,100000.0,72.03782035995371
PERSONALIZATION,298,298,4.332214765100671,1532352930,5142123.926174496,100000.0,19.57773526755354
SHOPPING,180,180,4.2299999999999995,1400331540,7779619.666666667,1000000.0,21.423498038186015
HEALTH_AND_FITNESS,244,244,4.243032786885245,1144006220,4688550.081967213,500000.0,56.81787289583093
SPORTS,260,260,4.216153846153846,1096431465,4217044.096153846,500000.0,22.801242757111133
BUSINESS,263,263,4.098479087452472,697018120,2650259.011406844,10000.0,35.867073297893604
LIFESTYLE,301,301,4.093355481727574,503741120,1673558.53820598,50000.0,31.76234650051995
MAPS_AND_NAVIGATION,118,118,4.036440677966102,503267560,4264979.322033898,100000.0,49.67536552524864
FINANCE,302,302,4.115562913907285,455312400,1507656.9536423841,50000.0,35.14070778656588
WEATHER,72,72,4.243055555555555,361096500,5015229.166666667,1000000.0,41.54014231652758
EDUCATION,118,118,4.364406779661017,352852000,2990271.186440678,1000000.0,34.008592837790346
FOOD_AND_DRINK,94,94,4.172340425531915,211677750,2251890.9574468085,1000000.0,14.17248624383054
DATING,134,134,3.970149253731343,140912410,1051585.1492537314,100000.0,21.289821102342938
ART_AND_DESIGN,61,61,4.357377049180328,114233100,1872673.7704918033,100000.0,61.27821095636904
HOUSE_AND_HOME,62,62,4.15,97082000,1565838.7096774194,500000.0,30.9017119548423
AUTO_AND_VEHICLES,73,73,4.190410958904109,53129800,727805.4794520548,100000.0,47.05457201043482
LIBRARIES_AND_DEMO,64,64,4.178125,52083000,813796.875,50000.0,57.600368642359314
COMICS,54,54,4.181481481481482,44931100,832057.4074074074,100000.0,44.51259817809935
MEDICAL,290,290,4.166551724137931,38152676,131560.95172413794,10000.0,28.83152940569621
PARENTING,50,50,4.3,31116110,622322.2,100000.0,51.420309286732824
BEAUTY,42,42,4.2785714285714285,26916200,640861.9047619047,100000.0,59.44375506200726
EVENTS,45,45,4.435555555555555,15949410,354431.3333333333,50000.0,68.968068411308
